number,title,created_at,closed_at,state,comments,labels,body
4041,`FileProxy.isatty()` always returns `False` instead of delegating to the proxied file,2026-03-22 12:43:07+00:00,2026-04-12 04:11:20+00:00,closed,5,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

`FileProxy` (used by `Live` when `redirect_stdout=True`) inherits `isatty()` from `io.TextIOBase`, which always returns `False`. This breaks code that checks `sys.stdout.isatty()` inside a `Live` context.

`"
4038,[BUG] `TableDataElement.on_text` clobbers syntax-highlight spans for inline code,2026-03-21 21:36:17+00:00,2026-04-12 07:45:05+00:00,closed,2,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

When using `Markdown` with `inline_code_lexer` and `inline_code_theme`, inline code (backticks) inside table cells loses its syntax highlighting and falls back to the default `markdown.code` style. The same "
4037,[REQUEST] My own custom progress bar module and more!,2026-03-20 09:52:36+00:00,2026-03-21 11:21:06+00:00,closed,4,['Needs triage'],"**How would you improve Rich?**

A few months ago, I made my own custom progress bars that can be customised to look like emojis or text, I also made a function to make printing bars like --------- or ********** easier, and a function to surround a string with a character/emoji on either side. I know these features might have been already implemented but please check my repo.

**What problem does it solve for you?**

My progress bars are more customizable but may need some changes. Please check "
4036,VSCode Remote SSH: Rich traceback links point to local filesystem instead of remote server,2026-03-19 14:25:27+00:00,,open,3,[],"I've checked docs and closed issues for possible solutions.
I can't find my issue in the FAQ.

---

### Describe the issue
When using Rich to render tracebacks in a **VSCode Remote SSH** development environment, the clickable file links in the traceback output point to the **local filesystem path** (e.g., `file:///home/user/...`) instead of the correct **VSCode Remote SSH URI** (e.g., `vscode-remote://ssh-remote+server-name/home/user/...`).

This causes VSCode to attempt opening the file on the "
4034,"[REQUEST] SpeedColumn for arbitrary units (rows, files, it/s)",2026-03-18 00:47:09+00:00,2026-03-18 01:58:27+00:00,closed,3,['Needs triage'],"# Feature Request: Add a Generic SpeedColumn to progress.py

## Summary

Add a new `SpeedColumn` progress column that displays speed for arbitrary units (iterations, rows, files, etc.), complementing the existing `TransferSpeedColumn` which is specialized for byte transfer speeds.

## Problem / Motivation

Currently, `TransferSpeedColumn` displays transfer speed in bytes (e.g., `3.2 MB/s`), which is ideal for file downloads or data transfers. However, many progress use cases track non-byte quant"
4029,Request: Enable PRs from forks for contributors,2026-03-05 12:18:04+00:00,2026-03-06 02:44:25+00:00,closed,3,[],"Hi Rich maintainers,\n\nI have a fix ready for mixed-width text handling in , but I currently can’t open a PR to the upstream repository from my fork.\n\nPR with the fix:\nhttps://github.com/Siew-s-Capital/rich/pull/1\n\nCould you please either:\n1) grant me collaborator access, **or**\n2) enable PRs from forks for contributors\n\nso I can submit this change properly?\n\nThanks for your time and for maintaining Rich."
4028,[BUG] Failure to propagate formatting overrides via ConsoleOptions,2026-03-02 19:54:55+00:00,,open,8,['Needs triage'],"- [X] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [X] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

⚠️ **UPDATE: Revised Scope**
Upon further investigation, this is not limited to a missing `emoji` setting.

There are two core issues

1. `ConsoleOptions` is missing an `emoji` field. Therefore, `emoji` over"
4027,Bug Report: Asian Language (CJK) Text Alignment & Unicode Width Issue,2026-03-01 06:07:57+00:00,2026-03-01 08:24:19+00:00,closed,4,['Needs triage'],"## Describe the bug
In the ""Asian language support"" demo section of Rich, Chinese/Japanese/Korean (CJK) text is misaligned with the leading Unicode symbols (C/J/K markers). The CJK text is horizontally offset, causing layout distortion and visual misalignment, which breaks the expected visual structure of the panel.

## To Reproduce
Steps to reproduce the behavior:
1. Run the following Python code with Rich:
```python
from rich import print
from rich.panel import Panel
from rich.text import Text"
4016,[BUG] `@auto`-generated `__rich_repr__()` does not escape `tuple`s,2026-02-23 18:41:42+00:00,,open,1,['Needs triage'],"When `@auto` is representing an attribute (`__init__()` arg) which is emitted as positional (rather than with the attribute name), the implementation yields the value directly. If that value is a tuple, it will be misinterpreted as a `(name, value, ...)` group, causing `TypeError`s later when rendering.

Fixed by pull request #4014.
An example of #4015.

Reproduction code:
```python
from __future__ import annotations
import rich
import rich.repr


class ClassA:
    ""This class is not a `str` and"
4015,[BUG] `__rich_repr__()` protocol is prone to escaping issues,2026-02-23 18:31:23+00:00,,open,2,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

**Describe the bug**

The `__rich_repr__()` protocol allows the following types to be yielded:

1. `tuple[None, Any]` - positional, safe form
2. `tuple[str, Any]` - keyword
3. `tuple[None, Any, Any]` - posit"
3975,[BUG]  `split_graphemes` infinite loop when string starts with zero-width character,2026-02-15 21:26:49+00:00,2026-02-15 21:46:52+00:00,closed,3,['Needs triage'],"## Summary

`split_graphemes()` enters an infinite loop when the input string begins with a zero-width character (e.g. null byte `\x00`).

## Minimal reproduction

```python
from rich.cells import split_graphemes

split_graphemes(""\x00"")  # hangs forever
```

Also hangs in any Textual app that renders such text:

```python
from textual.app import App, ComposeResult
from textual.widgets import Static
from rich.text import Text

class TestApp(App):
    def compose(self) -> ComposeResult:
        y"
3965,[BUG] LICENSE file is missing in metadata,2026-02-09 15:06:38+00:00,,open,5,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

**Describe the bug**

First, thank you very much for your efforts in creating such a great package.

We are trying to give proper attribution(s) to our dependencies (and their authors), and we have noticed t"
3960,[BUG] Traceback `__notes__` from outermost exception shown on all exceptions in chain,2026-02-08 01:29:22+00:00,,open,4,[],"## Description

When displaying a chained exception where only the outermost exception has `__notes__` (via PEP 678 `add_note`), Rich incorrectly displays those notes on **every** exception in the chain, not just the one that has them. Investigation done by Claude.

## Minimal reproduction

```python
from rich.console import Console

try:
    try:
        raise ValueError(""original error"")
    except ValueError as exc:
        raise RuntimeError(""wrapped error"") from exc
except RuntimeError as e"
3958,[BUG] Strings with ANSI escape sequences can cause `Console.print()` to hang,2026-02-05 20:21:44+00:00,2026-02-19 17:14:48+00:00,closed,12,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

**Describe the bug**

While testing a rich-click app I discovered an issue I first reported (including example code) there: https://github.com/ewels/rich-click/issues/325

I was inadvertently passing a strin"
3957,"Thai combining marks cause width miscalculation in modern terminals (Kitty, Ghostty)",2026-02-04 09:30:30+00:00,,open,2,[],"## Problem

Thai combining marks (vowels and tone marks) are marked as zero-width in `CELL_WIDTHS`, following Unicode's `Mn` (Nonspacing Mark) classification. However, modern terminal emulators (tested: Kitty, Ghostty) render Thai text with these characters taking visible width, causing table columns and other layouts to misalign.

## Reproduction

```python
from rich.console import Console
from rich.table import Table
from rich.cells import cell_len

console = Console()
table = Table(title='Tha"
3950,[BUG] `cell_len` doesn't account for control characters,2026-01-31 01:35:47+00:00,2026-02-01 16:19:22+00:00,closed,2,['Needs triage'],"The overhaul of `cell_len` in Rich v14.3.0 doesn't seem to account for control characters.

```python
from rich.cells import cell_len

for i in range(32):
    char = chr(i)
    char_len = cell_len(char)
    print(f""{repr(char):6}  {char_len}"")
```

Previously it looks like there was special handling for these codepoints, but now it reports a cell width of 1.

https://github.com/Textualize/rich/blob/53757bc234cf18977cade41a5b64f3abaccb0b85/rich/_cell_widths.py#L3-L6

I'm surprised this change did"
3948,[BUG] Table title always displays on the left when soft_wrap is True,2026-01-27 19:07:34+00:00,,open,3,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

<!-- 
WAIT! Is this a feature request?

Rich isn't accepting new features. If it can be implemented in a third-party library, then that is what I recommend.

Rich *may* accept enhancements to existing featur"
3947,"[BUG] If the text contains '\u200d', console.print may throw a RuntimeError",2026-01-26 07:14:38+00:00,2026-02-01 16:19:22+00:00,closed,3,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

<!-- 
WAIT! Is this a feature request?

Rich isn't accepting new features. If it can be implemented in a third-party library, then that is what I recommend.

Rich *may* accept enhancements to existing featur"
3946,[BUG] unicode error in lastest version when run on pyinstaller package,2026-01-25 03:48:18+00:00,2026-01-25 05:01:06+00:00,closed,6,['Needs triage'],"- [ ] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [ ] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

<!-- 
WAIT! Is this a feature request?

Rich isn't accepting new features. If it can be implemented in a third-party library, then that is what I recommend.

Rich *may* accept enhancements to existing featur"
3945,Read the Docs not updated,2026-01-24 22:44:38+00:00,,open,2,[],"Sorry Will, not sure what might be wrong with the Read the Docs settings but it looks like the docs might have stopped updating  [again](https://github.com/Textualize/rich/issues/3812 ). The last update for both the stable and latest versions was almost 5 months ago according to https://app.readthedocs.org/projects/rich/"
3943,[BUG] Certain Nerd Fonts are considered as double characters (they are not),2026-01-24 15:45:20+00:00,2026-01-24 21:40:02+00:00,closed,4,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

**Describe the bug**

Latest update (`v14.3.0`) broke nerd font rendering. Very easy to identify it.

```uvx --with rich==14.2.0 rovr```
<img width=""1867"" height=""1000"" alt=""Image"" src=""https://github.com/us"
3931,[BUG] spaces stripped from password,2026-01-20 21:24:20+00:00,2026-01-22 16:11:33+00:00,closed,5,['Needs triage'],"- [X] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [X] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

<!-- 
WAIT! Is this a feature request?

Rich isn't accepting new features. If it can be implemented in a third-party library, then that is what I recommend.

Rich *may* accept enhancements to existing featur"
3927,[BUG] traceback ignoring locals that are functions or classes,2026-01-13 21:07:51+00:00,2026-01-24 12:17:15+00:00,closed,2,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

**Describe the bug**

It looks like tracebacks stopped collecting/printing locals if they are functions or classes as part of commit e91e5a2.  Unfortunately the commit doesn't describe why (it just says ""sim"
3922,[BUG] Wrong color for a tuple that contain a type in more than 1 position,2025-12-29 11:57:22+00:00,,open,1,['Needs triage'],"
- [x] I've checked [[docs](https://rich.readthedocs.io/en/latest/introduction.html)](https://rich.readthedocs.io/en/latest/introduction.html) and [[closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed)](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [[FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md)](https://github.com/Textualize/rich/blob/master/FAQ.md).

**Describe the bug**"
3920,How to work with Docker Desktop incorrect rich logs display?,2025-12-26 20:45:11+00:00,2026-01-20 13:00:06+00:00,closed,3,[],"I have picture like this

<img width=""1585"" height=""502"" alt=""Image"" src=""https://github.com/user-attachments/assets/aaf71c36-c5f0-47cf-b072-63f2fb388c96"" />

The change to monospace fonts like Consolas, Courier New, Monaco doesn't help. "
3917,[BUG] Hidden commands should not be included in `typer app.py utils docs` markdown output,2025-12-17 21:24:29+00:00,2025-12-17 21:25:27+00:00,closed,4,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

<!-- 
WAIT! Is this a feature request?

Rich isn't accepting new features. If it can be implemented in a third-party library, then that is what I recommend.

Rich *may* accept enhancements to existing featur"
3907,"[BUG] Console buffer retains unencodable content after UnicodeEncodeError, causing crash in Progress.exit()",2025-12-04 13:37:38+00:00,,open,4,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

## Bug Report: Console buffer corruption on encoding errors causes crash during cleanup

### Description

When `FileProxy.flush()` or `console.print()` fails with a `UnicodeEncodeError` due to stream encodin"
3903,[BUG] tables crop content with long words,2025-12-03 11:18:45+00:00,2025-12-03 11:24:34+00:00,closed,1,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

**Describe the bug**

Long words that did not fit into a narrow cell are cropped instead of wrapping.

```python
from rich.console import Console
from rich.table import Table

table = Table(width=30)
table.a"
3897,[BUG] Variation Selector U+FE0F not accounted for in cell width calculation,2025-11-27 12:13:11+00:00,2026-01-22 16:08:09+00:00,closed,6,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

I was working on a library and noticed additional lines, in the output, like this:

<img width=""508"" height=""352"" alt=""Image"" src=""https://github.com/user-attachments/assets/94a70a8b-66fa-46d9-874c-951d7ae80"
3896,"[REQUEST] Jupyter-safe ""strict text"" mode for `Console`",2025-11-27 10:26:44+00:00,2026-01-24 12:24:16+00:00,closed,3,['Needs triage'],"**How would you improve Rich?**

I would like to request a supported option for `rich.console.Console` that forces strict plain-text output in Jupyter notebooks while retaining the structured features of `Console.log` such as time and path columns.

The key capability would be the ability to disable all HTML rendering, ANSI styling, highlighting, and especially OSC 8 hyperlinks, without disabling the display of the file path itself.

Something like:

```python
console = Console(
    force_jupyte"
3892,[BUG] rich.table.Table._get_padding_width() forgets to account for self.pad_edge,2025-11-19 14:36:36+00:00,2026-01-24 12:24:34+00:00,closed,3,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

**Describe the bug**

When you create a rich.table.Table() with columns that have fixed widths and set that table's pad_edge=False, the first and the last columns get extra padding on the right side.  The fi"
3891,[BUG] print() return value is error。,2025-11-19 05:50:33+00:00,2025-12-01 20:46:07+00:00,closed,3,['Needs triage'],"```python
from rich import print
```
Replace built-in print function  to  rich.print

when obj is complex objects like 
```python
from datetime import date
d = date.fromisoformat(""2025-08-09"")
l = [[d,1,1],[d,2,2]]
```
_The return value of the built-in print function is_
```python
>>> print(f""ok {l}"")
ok [[datetime.date(2025, 8, 9), 1, 1], [datetime.date(2025, 8, 9), 2, 2]]
```
**the return value of the rich.print is** 
```python
>>> from rich import print
>>> print(f""ok {l}"")
ok [, ]
```
no f-s"
3888,[BUG] Typing of highlighter needs improvement,2025-11-17 08:15:09+00:00,2026-01-23 15:42:50+00:00,closed,4,['Needs triage'],"The type annotation of Highlighter.highlights should be `ClassVar[tuple[str | re.pattern[str],...]]` rather than implicit.

Otherwise linters (rightfully) complain that it is bad to use a mutable type (`list`) for a class variable (https://docs.astral.sh/ruff/rules/mutable-class-default/). Furthermore, mypy treates the variable as an instance variable and complains about it being overwritten, so it would be nice to make it a `ClassVar` "
3887,[BUG] Highlighter handling between Console and RichHandler inconsistent.,2025-11-17 07:56:09+00:00,,open,2,['Needs triage'],"Highlighting differs in an odd way between print and logging using the same console object, depending on the highlighter implementation. From a users perspective it is not clear at all where the difference between class A and B is, yet they behave differnetly as noted below:

```
class A(ReprHighlighter):
    highlights = [*ReprHighlighter.highlights, ""myhighlight""]

class B(ReprHighlighter):
    def __init__(self):
        super().__init__()
        self.__class__.highlights.append(""myhighligh"""
3881,[BUG] PromptBase.on_validate_error should explicitly enable markup,2025-11-12 19:37:00+00:00,2026-01-23 11:48:32+00:00,closed,2,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

**Describe the bug**

I create a console with `Console(markup=False)` and then pass it to `Confirm.ask(..., console=console)`.  If the user doesn't pick a valid choice, they get an error that says `[prompt.i"
3880,[BUG] example/dynamic_progress.py exited before progress exit when in jupyter,2025-11-08 01:53:09+00:00,,open,1,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

<!-- 
WAIT! Is this a feature request?

Rich isn't accepting new features. If it can be implemented in a third-party library, then that is what I recommend.

Rich *may* accept enhancements to existing featur"
3877,[BUG] RichHandler ignores `%z` time zone format specifier,2025-10-29 11:53:24+00:00,,open,1,['Needs triage'],"RichHandler sseems to ignore or cut off the `%z` timezone (or uses time objects where that info is not attached). I.e. with `""log_time_format"": ""%Y-%m-%dT%H:%M:%S%z""`, for me, it prints:

```
2025-07-04T19:14:40 DEBUG    debug message                                                                                                                                           main.py:26
2025-07-04T19:14:41 INFO     info message                                                                           "
3875,[BUG] `overflow` arg is ignored in `add_column` function.,2025-10-24 20:32:44+00:00,2025-10-24 20:44:41+00:00,closed,4,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

<!-- 
WAIT! Is this a feature request?

Rich isn't accepting new features. If it can be implemented in a third-party library, then that is what I recommend.

Rich *may* accept enhancements to existing featur"
3871,[BUG] Table padding is miscalculated in first column,2025-10-21 23:26:18+00:00,2026-01-23 11:31:34+00:00,closed,2,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

**Table padding is miscalculated in first column**

I'm using a table for layout, but the first column has too much padding between it and the second column. When I investigated, I found that adjusting the p"
3868,[BUG] Progress bar/live display doesn't work anymore with ipykernel>=7,2025-10-17 11:31:36+00:00,,open,4,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

**Describe the bug**

The refresh of progress bar/live display doesn't work properly in Jupyter notebook with [the latest ipykernel 7](https://github.com/ipython/ipykernel/issues/1438) (released 4 days ago)."
3865,[BUG] `console.status` doesn't work properly with `subprocess.run`,2025-10-14 10:48:51+00:00,2025-10-14 10:51:30+00:00,closed,1,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).

<!-- 
WAIT! Is this a feature request?

Rich isn't accepting new features. If it can be implemented in a third-party library, then that is what I recommend.

Rich *may* accept enhancements to existing featur"
3859,[BUG]  Performance of `track` is significantly worse than `spinner`,2025-10-04 01:01:56+00:00,2025-10-04 09:34:13+00:00,closed,1,['Needs triage'],"- [x] I've checked [docs](https://rich.readthedocs.io/en/latest/introduction.html) and [closed issues](https://github.com/Textualize/rich/issues?q=is%3Aissue+is%3Aclosed) for possible solutions.
- [x] I can't find my issue in the [FAQ](https://github.com/Textualize/rich/blob/master/FAQ.md).


**Describe the bug**

`track` performance is significantly worse than `spinner`

```python
import time
from rich.progress import track
from rich.console import Console

console = Console()

_start = time.pe"
